Trace
Swept SA
A.14.59,N9000A
36600000,-67.8857111871235
36800000,-68.6077046396693
37000000,-67.9762451385171
37200000,-68.5767359878726
37400000,-68.2496963766006
37600000,-68.7190856484496
37800000,-64.2009843949548
38000000,-63.7947202195794
38200000,-67.3113984412208
38400000,-68.5233783953196
38600000,-68.4647780832825
38800000,-67.5427116049172
39000000,-68.2796678441069
39200000,-68.3160839530994
39400000,-68.2444375260227
39600000,-68.3043476071181
39800000,-68.5192898975761
40000000,-67.8350305247235
40200000,-68.4984999590652
40400000,-68.4221451802047
40600000,-68.2643561632975
40800000,-69.2098504087315
41000000,-68.1628003429569
41200000,-67.8948030992137
41400000,-67.9618824323923
41600000,-67.7558771709677
41800000,-67.3140784723605
42000000,-68.223990744934
42200000,-68.268543781467
42400000,-68.3308362488966
42600000,-69.01558671695
42800000,-67.89473563712
43000000,-67.6072553497885
43200000,-68.0280840847909
43400000,-67.845325635434
43600000,-68.7986667529193
43800000,-68.2572929155859
44000000,-68.0929776757952
44200000,-69.0143131334456
44400000,-68.6580633528619
44600000,-68.6410780975974
44800000,-68.1015169195802
45000000,-68.9392692087248
45200000,-68.5254216249052
45400000,-68.6008194178888
45600000,-68.7779677009119
45800000,-67.7726402404564
46000000,-68.3233368429313
46200000,-68.8227781481944
46400000,-67.9090004589199
46600000,-68.6430846425812
46800000,-68.8111623009533
47000000,-68.2037307578383
47200000,-68.7998959700856
47400000,-68.7929417533427
47600000,-68.9958671282454
47800000,-68.9303308397228
48000000,-67.9923277814433
48200000,-68.6310288557975
48400000,-68.6146387469399
48600000,-69.0171649959496
48800000,-68.2565684965768
49000000,-68.1362726766659
49200000,-68.6152021930629
49400000,-68.0515602154567
49600000,-66.685343283811
49800000,-67.3020161100861
50000000,-68.0078719569847
50200000,-67.5155518943076
50400000,-68.3419583947847
50600000,-68.3432510310006
50800000,-68.3887593561736
51000000,-68.5063337544149
51200000,-68.4836369195133
51400000,-68.8953118049565
51600000,-68.4018268349563
51800000,-67.9929300103267
52000000,-68.2465281415734
52200000,-68.4053216082941
52400000,-68.2441904729987
52600000,-68.5603411001062
52800000,-68.4610578034468
53000000,-67.0844003313262
53200000,-67.5210974232622
53400000,-68.4216740494661
53600000,-68.3028584835495
53800000,-68.2416390848924
54000000,-68.4261252565419
54200000,-68.373657624759
54400000,-68.5742230936257
54600000,-68.6042003405538
