Trace
Swept SA
A.14.59,N9000A
36600000,-73.8618774414063
36800000,-65.7829742431641
37000000,-73.4346466064453
37200000,-62.9774894714355
37400000,-79.5615844726563
37600000,-67.2597274780273
37800000,-71.2558288574219
38000000,-63.0071563720703
38200000,-76.2414093017578
38400000,-62.9238777160645
38600000,-69.4165573120117
38800000,-61.9344215393066
39000000,-75.4450073242188
39200000,-66.6958389282227
39400000,-72.4263916015625
39600000,-63.217155456543
39800000,-66.5576934814453
40000000,-64.0797424316406
40200000,-78.123893737793
40400000,-69.4857025146484
40600000,-77.0484466552734
40800000,-66.3730087280273
41000000,-68.556022644043
41200000,-63.9636573791504
41400000,-73.8392486572266
41600000,-66.6525573730469
41800000,-75.255973815918
42000000,-67.046989440918
42200000,-75.6849517822266
42400000,-63.3610496520996
42600000,-69.43408203125
42800000,-64.4250030517578
43000000,-87.5279846191406
43200000,-71.7307739257813
43400000,-82.9593887329102
43600000,-68.7187728881836
43800000,-72.9221267700195
44000000,-66.9069213867188
44200000,-68.1198196411133
44400000,-65.9659729003906
44600000,-77.296745300293
44800000,-69.6779098510742
45000000,-74.1098251342773
45200000,-61.9483489990234
45400000,-62.8591842651367
45600000,-61.9341506958008
45800000,-80.9751358032227
46000000,-66.2406463623047
46200000,-82.5910339355469
46400000,-71.1887435913086
46600000,-75.6831283569336
46800000,-64.0949020385742
47000000,-69.5535278320313
47200000,-65.8644027709961
47400000,-80.8147277832031
47600000,-64.2421646118164
47800000,-68.4080352783203
48000000,-63.7833290100098
48200000,-74.2924423217773
48400000,-67.8759613037109
48600000,-72.7209167480469
48800000,-64.1635665893555
49000000,-82.5732421875
49200000,-67.5837249755859
49400000,-80.6526184082031
49600000,-66.0658493041992
49800000,-65.3069152832031
50000000,-62.6474304199219
50200000,-73.8225784301758
50400000,-66.6015319824219
50600000,-75.2903900146484
50800000,-65.7351837158203
51000000,-74.3895034790039
51200000,-67.5903091430664
51400000,-78.4435577392578
51600000,-68.6450881958008
51800000,-69.9779663085938
52000000,-66.482307434082
52200000,-74.520751953125
52400000,-67.4121475219727
52600000,-78.1419219970703
52800000,-67.2638320922852
53000000,-69.0942687988281
53200000,-63.4665603637695
53400000,-80.0471649169922
53600000,-68.1717681884766
53800000,-81.6127243041992
54000000,-63.7622909545898
54200000,-72.561393737793
54400000,-66.2685699462891
54600000,-78.728385925293
54800000,-67.0117340087891
