Trace
Swept SA
A.14.59,N9000A
36600000,-68.4453232722349
36800000,-67.9760974623606
37000000,-68.8247653221953
37200000,-68.3806110750242
37400000,-69.2431917021982
37600000,-67.3645403534516
37800000,-61.2588677112247
38000000,-61.8063364295874
38200000,-66.8561303384211
38400000,-67.6033693964536
38600000,-68.7107050645109
38800000,-68.3009312469159
39000000,-68.1569535435696
39200000,-68.1544785349849
39400000,-68.1176608209493
39600000,-68.2499671236068
39800000,-67.6028258228484
40000000,-67.9655795324665
40200000,-68.2910685407421
40400000,-68.727119787855
40600000,-68.444938860753
40800000,-67.7765835383371
41000000,-68.4087464037711
41200000,-68.4832561084849
41400000,-67.7741085449554
41600000,-67.9519623845102
41800000,-68.4878914104059
42000000,-67.7921416648907
42200000,-68.1761151705977
42400000,-68.7795841169684
42600000,-68.3715155583031
42800000,-68.3859762175609
43000000,-68.4422359557255
43200000,-68.4041702727381
43400000,-67.9263969955883
43600000,-68.1909211353115
43800000,-68.3830546220467
44000000,-68.4146302344749
44200000,-68.944866009654
44400000,-68.4901807788248
44600000,-68.4772050933045
44800000,-68.7879455743382
45000000,-68.8749736815082
45200000,-68.6616018297638
45400000,-68.7677416241218
45600000,-68.2504240981782
45800000,-68.0277171780313
46000000,-68.0123836399276
46200000,-68.6263382698756
46400000,-68.3508365849635
46600000,-68.7240541605946
46800000,-68.4787041756807
47000000,-68.9948239825699
47200000,-68.1790847948626
47400000,-68.6381302558541
47600000,-68.1540833483354
47800000,-68.1213010770659
48000000,-67.8310434394592
48200000,-68.7759766678267
48400000,-68.9183151848187
48600000,-68.4393856624813
48800000,-68.585544989299
49000000,-68.4234775984233
49200000,-67.9406609812666
49400000,-67.3402663477817
49600000,-64.8147630034482
49800000,-66.8228715056756
50000000,-68.3714363150482
50200000,-68.3593576604763
50400000,-68.5043830720024
50600000,-69.0570929575673
50800000,-68.917301955634
51000000,-68.1538205510675
51200000,-67.9487825276792
51400000,-68.4934906629174
51600000,-68.5641893305529
51800000,-68.5122685167849
52000000,-67.8785787050751
52200000,-67.9349755987703
52400000,-68.3704176348523
52600000,-68.3319194653948
52800000,-68.0856679711587
53000000,-68.6120372316468
53200000,-68.3533118798097
53400000,-68.2981857411885
53600000,-68.7104493244998
53800000,-68.4868503211164
54000000,-69.1202249108349
54200000,-68.6064798968976
54400000,-68.2186120091176
54600000,-68.2617378719106
